Formato Textual (Nombre del Objeto),Formato OID Numérico
DeltaUPS-MIB::dupsOutputLoad2.0,1.3.6.1.4.1.2254.2.4.5.11.0
DeltaUPS-MIB::dupsOutputVoltage3.0,1.3.6.1.4.1.2254.2.4.5.12.0
DeltaUPS-MIB::dupsOutputCurrent3.0,1.3.6.1.4.1.2254.2.4.5.13.0
DeltaUPS-MIB::dupsOutputPower3.0,1.3.6.1.4.1.2254.2.4.5.14.0
DeltaUPS-MIB::dupsOutputLoad3.0,1.3.6.1.4.1.2254.2.4.5.15.0
DeltaUPS-MIB::dupsBypassFrequency.0,1.3.6.1.4.1.2254.2.4.6.1.0
DeltaUPS-MIB::dupsBypassNumLines.0,1.3.6.1.4.1.2254.2.4.6.2.0
DeltaUPS-MIB::dupsBypassVoltage1.0,1.3.6.1.4.1.2254.2.4.6.3.0
DeltaUPS-MIB::dupsBypassCurrent1.0,1.3.6.1.4.1.2254.2.4.6.4.0
DeltaUPS-MIB::dupsBypassPower1.0,1.3.6.1.4.1.2254.2.4.6.5.0
DeltaUPS-MIB::dupsBypassVoltage2.0,1.3.6.1.4.1.2254.2.4.6.6.0
DeltaUPS-MIB::dupsBypassCurrent2.0,1.3.6.1.4.1.2254.2.4.6.7.0
DeltaUPS-MIB::dupsBypassPower2.0,1.3.6.1.4.1.2254.2.4.6.8.0
DeltaUPS-MIB::dupsBypassVoltage3.0,1.3.6.1.4.1.2254.2.4.6.9.0
DeltaUPS-MIB::dupsBypassCurrent3.0,1.3.6.1.4.1.2254.2.4.6.10.0
DeltaUPS-MIB::dupsBypassPower3.0,1.3.6.1.4.1.2254.2.4.6.11.0
DeltaUPS-MIB::dupsBatteryCondition.0,1.3.6.1.4.1.2254.2.4.7.1.0
DeltaUPS-MIB::dupsBatteryStatus.0,1.3.6.1.4.1.2254.2.4.7.2.0
DeltaUPS-MIB::dupsBatteryCharge.0,1.3.6.1.4.1.2254.2.4.7.3.0
DeltaUPS-MIB::dupsSecondsOnBattery.0,1.3.6.1.4.1.2254.2.4.7.4.0
DeltaUPS-MIB::dupsBatteryEstimatedTime.0,1.3.6.1.4.1.2254.2.4.7.5.0
DeltaUPS-MIB::dupsBatteryVoltage.0,1.3.6.1.4.1.2254.2.4.7.6.0
DeltaUPS-MIB::dupsBatteryCurrent.0,1.3.6.1.4.1.2254.2.4.7.7.0
DeltaUPS-MIB::dupsBatteryCapacity.0,1.3.6.1.4.1.2254.2.4.7.8.0
DeltaUPS-MIB::dupsTemperature.0,1.3.6.1.4.1.2254.2.4.7.9.0
DeltaUPS-MIB::dupsLastReplaceDate.0,1.3.6.1.4.1.2254.2.4.7.10.0
DeltaUPS-MIB::dupsNextReplaceDate.0,1.3.6.1.4.1.2254.2.4.7.11.0
DeltaUPS-MIB::dupsTestType.0,1.3.6.1.4.1.2254.2.4.8.1.0
DeltaUPS-MIB::dupsTestResultsSummary.0,1.3.6.1.4.1.2254.2.4.8.2.0
DeltaUPS-MIB::dupsTestResultsDetail.0,1.3.6.1.4.1.2254.2.4.8.3.0
DeltaUPS-MIB::dupsAlarmDisconnect.0,1.3.6.1.4.1.2254.2.4.9.1.0
DeltaUPS-MIB::dupsAlarmPowerFail.0,1.3.6.1.4.1.2254.2.4.9.2.0
DeltaUPS-MIB::dupsAlarmBatteryLow.0,1.3.6.1.4.1.2254.2.4.9.3.0
DeltaUPS-MIB::dupsAlarmLoadWarning.0,1.3.6.1.4.1.2254.2.4.9.4.0
DeltaUPS-MIB::dupsAlarmLoadSeverity.0,1.3.6.1.4.1.2254.2.4.9.5.0
DeltaUPS-MIB::dupsAlarmLoadOnBypass.0,1.3.6.1.4.1.2254.2.4.9.6.0
DeltaUPS-MIB::dupsAlarmUPSFault.0,1.3.6.1.4.1.2254.2.4.9.7.0
DeltaUPS-MIB::dupsAlarmBatteryGroundFault.0,1.3.6.1.4.1.2254.2.4.9.8.0
DeltaUPS-MIB::dupsAlarmTestInProgress.0,1.3.6.1.4.1.2254.2.4.9.9.0
DeltaUPS-MIB::dupsAlarmBatteryTestFail.0,1.3.6.1.4.1.2254.2.4.9.10.0
DeltaUPS-MIB::dupsAlarmFuseFailure.0,1.3.6.1.4.1.2254.2.4.9.11.0
DeltaUPS-MIB::dupsAlarmOutputOverload.0,1.3.6.1.4.1.2254.2.4.9.12.0
DeltaUPS-MIB::dupsAlarmOutputOverCurrent.0,1.3.6.1.4.1.2254.2.4.9.13.0
DeltaUPS-MIB::dupsAlarmInverterAbnormal.0,1.3.6.1.4.1.2254.2.4.9.14.0
DeltaUPS-MIB::dupsAlarmRectifierAbnormal.0,1.3.6.1.4.1.2254.2.4.9.15.0
DeltaUPS-MIB::dupsAlarmReserveAbnormal.0,1.3.6.1.4.1.2254.2.4.9.16.0
DeltaUPS-MIB::dupsAlarmLoadOnReserve.0,1.3.6.1.4.1.2254.2.4.9.17.0
DeltaUPS-MIB::dupsAlarmOverTemperature.0,1.3.6.1.4.1.2254.2.4.9.18.0
DeltaUPS-MIB::dupsAlarmOutputBad.0,1.3.6.1.4.1.2254.2.4.9.19.0
DeltaUPS-MIB::dupsAlarmBypassBad.0,1.3.6.1.4.1.2254.2.4.9.20.0
DeltaUPS-MIB::dupsAlarmUPSOff.0,1.3.6.1.4.1.2254.2.4.9.21.0
DeltaUPS-MIB::dupsAlarmChargerFail.0,1.3.6.1.4.1.2254.2.4.9.22.0
DeltaUPS-MIB::dupsAlarmFanFail.0,1.3.6.1.4.1.2254.2.4.9.23.0
DeltaUPS-MIB::dupsAlarmEconomicMode.0,1.3.6.1.4.1.2254.2.4.9.24.0
DeltaUPS-MIB::dupsAlarmOutputOff.0,1.3.6.1.4.1.2254.2.4.9.25.0
DeltaUPS-MIB::dupsAlarmSmartShutdown.0,1.3.6.1.4.1.2254.2.4.9.26.0
DeltaUPS-MIB::dupsAlarmEmergencyPowerOff.0,1.3.6.1.4.1.2254.2.4.9.27.0
DeltaUPS-MIB::dupsAlarmUPSShutdown.0,1.3.6.1.4.1.2254.2.4.9.28.0
DeltaUPS-MIB::dupsEnvTemperature.0,1.3.6.1.4.1.2254.2.4.10.1.0
DeltaUPS-MIB::dupsEnvHumidity.0,1.3.6.1.4.1.2254.2.4.10.2.0
DeltaUPS-MIB::dupsEnvSetTemperatureLimit.0,1.3.6.1.4.1.2254.2.4.10.3.0
DeltaUPS-MIB::dupsEnvSetHumidityLimit.0,1.3.6.1.4.1.2254.2.4.10.4.0
DeltaUPS-MIB::dupsEnvSetEnvRelay1.0,1.3.6.1.4.1.2254.2.4.10.5.0
DeltaUPS-MIB::dupsEnvSetEnvRelay2.0,1.3.6.1.4.1.2254.2.4.10.6.0
DeltaUPS-MIB::dupsEnvSetEnvRelay3.0,1.3.6.1.4.1.2254.2.4.10.7.0
DeltaUPS-MIB::dupsEnvSetEnvRelay4.0,1.3.6.1.4.1.2254.2.4.10.8.0
DeltaUPS-MIB::dupsAlarmOverEnvTemperature.0,1.3.6.1.4.1.2254.2.4.10.9.0
DeltaUPS-MIB::dupsAlarmOverEnvHumidity.0,1.3.6.1.4.1.2254.2.4.10.10.0
DeltaUPS-MIB::dupsAlarmEnvRelay1.0,1.3.6.1.4.1.2254.2.4.10.11.0
DeltaUPS-MIB::dupsAlarmEnvRelay2.0,1.3.6.1.4.1.2254.2.4.10.12.0
DeltaUPS-MIB::dupsAlarmEnvRelay3.0,1.3.6.1.4.1.2254.2.4.10.13.0
DeltaUPS-MIB::dupsAlarmEnvRelay4.0,1.3.6.1.4.1.2254.2.4.10.14.0
DeltaUPS-MIB::dupsEnvSetTemperatureWarnLimit.0,1.3.6.1.4.1.2254.2.4.10.15.0
DeltaUPS-MIB::dupsEnvSetHumidityWarnLimit.0,1.3.6.1.4.1.2254.2.4.10.16.0
DeltaUPS-MIB::dupsWarnOverEnvTemperature.0,1.3.6.1.4.1.2254.2.4.10.17.0
DeltaUPS-MIB::dupsWarnOverEnvHumidity.0,1.3.6.1.4.1.2254.2.4.10.18.0
DeltaUPS-MIB::dupsOutputLineDiscovery,"1.3.6.1.4.1.2254.2.4.5.3.0 (Usado para LLD, no valor escalar)"
DeltaUPS-MIB::dupsInputLineDiscovery,"1.3.6.1.4.1.2254.2.4.4.1.0 (Usado para LLD, no valor escalar)"
DeltaUPS-MIB::dupsBypassLineDiscovery,"1.3.6.1.4.1.2254.2.4.6.2.0 (Usado para LLD, no valor escalar)"
UPS-MIB::upsIdentManufacturer.0,1.3.6.1.2.1.33.1.1.1.0
UPS-MIB::upsIdentModel.0,1.3.6.1.2.1.33.1.1.2.0
UPS-MIB::upsIdentUPSSoftwareVersion.0,1.3.6.1.2.1.33.1.1.3.0
UPS-MIB::upsIdentAgentSoftwareVersion.0,1.3.6.1.2.1.33.1.1.4.0
UPS-MIB::upsIdentName.0,1.3.6.1.2.1.33.1.1.5.0
UPS-MIB::upsIdentAttachedDevices.0,1.3.6.1.2.1.33.1.1.6.0
UPS-MIB::upsBatteryStatus.0,1.3.6.1.2.1.33.1.2.1.0
UPS-MIB::upsSecondsOnBattery.0,1.3.6.1.2.1.33.1.2.2.0
UPS-MIB::upsEstimatedMinutesRemaining.0,1.3.6.1.2.1.33.1.2.3.0
UPS-MIB::upsEstimatedChargeRemaining.0,1.3.6.1.2.1.33.1.2.4.0
UPS-MIB::upsBatteryVoltage.0,1.3.6.1.2.1.33.1.2.5.0
UPS-MIB::upsBatteryCurrent.0,1.3.6.1.2.1.33.1.2.6.0
UPS-MIB::upsBatteryTemperature.0,1.3.6.1.2.1.33.1.2.7.0
UPS-MIB::upsInputLineBads.0,1.3.6.1.2.1.33.1.3.1.0
UPS-MIB::upsInputNumLines.0,1.3.6.1.2.1.33.1.3.2.0
UPS-MIB::upsInputLineIndex.1,1.3.6.1.2.1.33.1.3.3.1
UPS-MIB::upsInputLineIndex.2,1.3.6.1.2.1.33.1.3.3.2
UPS-MIB::upsInputLineIndex.3,1.3.6.1.2.1.33.1.3.3.3
UPS-MIB::upsInputFrequency.1,1.3.6.1.2.1.33.1.3.4.1
UPS-MIB::upsInputFrequency.2,1.3.6.1.2.1.33.1.3.4.2
UPS-MIB::upsInputFrequency.3,1.3.6.1.2.1.33.1.3.4.3
UPS-MIB::upsInputVoltage.1,1.3.6.1.2.1.33.1.3.5.1
UPS-MIB::upsInputVoltage.2,1.3.6.1.2.1.33.1.3.5.2
UPS-MIB::upsInputVoltage.3,1.3.6.1.2.1.33.1.3.5.3
UPS-MIB::upsInputCurrent.1,1.3.6.1.2.1.33.1.3.6.1
UPS-MIB::upsInputCurrent.2,1.3.6.1.2.1.33.1.3.6.2
UPS-MIB::upsInputCurrent.3,1.3.6.1.2.1.33.1.3.6.3
UPS-MIB::upsInputTruePower.1,1.3.6.1.2.1.33.1.3.7.1
UPS-MIB::upsInputTruePower.2,1.3.6.1.2.1.33.1.3.7.2
UPS-MIB::upsInputTruePower.3,1.3.6.1.2.1.33.1.3.7.3
UPS-MIB::upsOutputSource.0,1.3.6.1.2.1.33.1.4.1.0
UPS-MIB::upsOutputFrequency.0,1.3.6.1.2.1.33.1.4.2.0
UPS-MIB::upsOutputNumLines.0,1.3.6.1.2.1.33.1.4.3.0
UPS-MIB::upsOutputLineIndex.1,1.3.6.1.2.1.33.1.4.4.1
UPS-MIB::upsOutputLineIndex.2,1.3.6.1.2.1.33.1.4.4.2
UPS-MIB::upsOutputLineIndex.3,1.3.6.1.2.1.33.1.4.4.3
UPS-MIB::upsOutputVoltage.1,1.3.6.1.2.1.33.1.4.5.1
